name,category,latitude,longitude,cluster_label,is_hotspot
DePaul's,cafe,28.6288925,77.2186728,0,True
Unknown,bank,28.6347114,77.2217366,0,True
Parsvnath Mall Inderlok,mall,28.6731492,77.1704827,-1,False
Palatini Pizzeria,restaurant,28.6022338,77.1861298,5,True
Canara Bank,bank,28.6015923,77.1868853,5,True
Moti Mahal Delux,restaurant,28.6016675,77.186001,5,True
Lazeez Affaire,restaurant,28.6021801,77.1861058,5,True
Yes Bank,bank,28.6016723,77.1860978,5,True
Fujiya,restaurant,28.6016518,77.1861386,5,True
Angra HP Centre,fuel,28.5908405,77.1960832,-1,False
The Singh Empire,hotel,28.6445402,77.2154838,0,True
Unknown,cafe,28.5895394,77.2195741,-1,False
Aromatic @ city center,hotel,28.6383447,77.210545,0,True
Ritz hotel,hotel,28.6453238,77.2167463,0,True
Hotel Shandon,hotel,28.6385449,77.2102363,0,True
Amristari Kulcha King,restaurant,28.6477274,77.1960745,0,True
Cottage Emporium,supermarket,28.6256334,77.2201793,0,True
OYO 14710 - Hotel Pallvi Palace,hotel,28.6456241,77.2174292,0,True
Sandoz,restaurant,28.6344467,77.2220056,0,True
Bank of India,bank,28.6348608,77.2186893,0,True
Vegetarian Restaurant,restaurant,28.6599133,77.2235649,2,False
Minar,restaurant,28.6345679,77.2219125,0,True
Syndicate Bank,bank,28.6302163,77.2415659,-1,False
Caffè Tonino,restaurant,28.6350184,77.2195254,0,True
#ashery,cafe,28.6342664,77.2180918,0,True
Royal Residence,hotel,28.6471629,77.187746,0,True
Western Union & Express Money,bank,28.6412335,77.2144015,0,True
National Restaurant,restaurant,28.6345219,77.2225088,0,True
L'Opéra,cafe,28.6090339,77.2296678,1,True
Kalawati Saran Children's Hospital,other,28.6357652,77.2110664,0,True
Maulana Azad Institute of Dental Sciences,other,28.6371532,77.236999,-1,False
Chacha Nehru Bal Chikitsalaya,other,28.653163,77.268342,-1,False
Central Hospital (Northern Railways),other,28.6365867,77.2173905,0,True
Lady Hardinge Medical College & Associated Hospitals,other,28.634138,77.212909,0,True
Free Maternity & Child Welfare Centeri,other,28.6472649,77.2308534,2,False
Sunder Lal Jain Eye Hospital,other,28.6495013,77.2098206,0,True
Kasturba Hospital,other,28.649831,77.2359282,2,False
NGO Lok Kalyan Samiti,other,28.629808,77.2387009,0,True
Aruna Asaf Ali Government Hospital,other,28.6697661,77.2178501,-1,False
Dr. N. C. Joshi Memorial Hospital,other,28.6529654,77.1994853,-1,False
Shree Jeewan Hospital,other,28.6579998,77.1943948,-1,False
Mohan Eye Institute,other,28.6431266,77.1906871,0,True
Navjoyti Eye Centre,other,28.6435226,77.2424612,2,False
Jag Pravesh Chandra Hospital,other,28.6764665,77.262937,-1,False
Sharma Medical Center,other,28.6494565,77.209831,0,True
Tirath Ram Shah Hospital,other,28.6708223,77.2162565,-1,False
Neera Eye Centre,other,28.6424432,77.2427645,2,False
Mahavir International Eye Hospital,other,28.6598583,77.2157522,-1,False
Nazar Kanwar Surana Hospital,other,28.6752381,77.1907591,-1,False
State Bank of India,bank,28.596518,77.1769969,-1,False
Singh’s café & restaurant,restaurant,28.6411587,77.2134007,0,True
HDFC Bank,bank,28.6294081,77.2221975,0,True
Sabharwal Hospital,other,28.6443841,77.2385497,2,False
Dehli Hospital,other,28.6418873,77.2450734,2,False
Apollo Spectra Hospitals,other,28.6583838,77.1936638,-1,False
Jai Maa Tara Hospital,other,28.6738845,77.1800003,-1,False
Curewell Hospital,other,28.6651197,77.1952107,-1,False
Sanjeevan Hospital,other,28.6412816,77.2429413,2,False
Jeewan Hospital,other,28.643625,77.188255,0,True
Khadija National Hospital,other,28.6437984,77.2381596,2,False
Aggarwal Nursing Home,other,28.6766024,77.1804445,-1,False
Bawasher Hospital,other,28.6742139,77.1761804,-1,False
Malhotra General Store,convenience,28.6275206,77.2343913,0,True
bioQ eco solutions,supermarket,28.6556314,77.2006596,-1,False
